116	P04049	RAF1_HUMAN	reviewed	RAF proto-oncogene serine/threonine-protein kinase (EC 2.7.11.1) (Proto-oncogene c-RAF) (cRaf) (Raf-1)	RAF1 RAF	Homo sapiens (Human)	648
117	P34913	HYES_HUMAN	reviewed	Bifunctional epoxide hydrolase 2 [Includes: Cytosolic epoxide hydrolase 2 (CEH) (EC 3.3.2.10) (Epoxide hydratase) (Soluble epoxide hydrolase) (SEH); Lipid-phosphate phosphatase (EC 3.1.3.76)]	EPHX2	Homo sapiens (Human)	555
118	P34914	HYES_MOUSE	reviewed	Bifunctional epoxide hydrolase 2 [Includes: Cytosolic epoxide hydrolase 2 (CEH) (EC 3.3.2.10) (Epoxide hydratase) (Soluble epoxide hydrolase) (SEH); Lipid-phosphate phosphatase (EC 3.1.3.76)]	Ephx2 Eph2	Mus musculus (Mouse)	554
119	P05364	AMPC_ENTCL	reviewed	Beta-lactamase (EC 3.5.2.6) (Cephalosporinase)	ampC	Enterobacter cloacae	381
120	P25910	BLAB_BACFG	reviewed	Beta-lactamase type II (EC 3.5.2.6) (Cephalosporinase) (Imipenem-cefoxitin hydrolyzing enzyme) (Penicillinase)	ccrA cfiA	Bacteroides fragilis	249
121	P62593	BLAT_ECOLX	reviewed	Beta-lactamase TEM (EC 3.5.2.6) (IRT-4) (Penicillinase) (TEM-1) (TEM-16/CAZ-7) (TEM-2) (TEM-24/CAZ-6) (TEM-3) (TEM-4) (TEM-5) (TEM-6) (TEM-8/CAZ-2)	bla; blaT-3; blaT-4; blaT-5; blaT-6	Escherichia coli	286
122	P06401	PRGR_HUMAN	reviewed	Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3)	PGR NR3C3	Homo sapiens (Human)	933
123	P08235	MCR_HUMAN	reviewed	Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2)	NR3C2 MCR MLR	Homo sapiens (Human)	984
124	P10635	CP2D6_HUMAN	reviewed	Cytochrome P450 2D6 (EC 1.14.14.1) (CYPIID6) (Cholesterol 25-hydroxylase) (Cytochrome P450-DB1) (Debrisoquine 4-hydroxylase)	CYP2D6 CYP2DL1	Homo sapiens (Human)	497
125	O43451	MGA_HUMAN	reviewed	Maltase-glucoamylase, intestinal [Includes: Maltase (EC 3.2.1.20) (Alpha-glucosidase); Glucoamylase (EC 3.2.1.3) (Glucan 1,4-alpha-glucosidase)]	MGAM MGA MGAML	Homo sapiens (Human)	1857
126	P10253	LYAG_HUMAN	reviewed	Lysosomal alpha-glucosidase (EC 3.2.1.20) (Acid maltase) (Aglucosidase alfa) [Cleaved into: 76 kDa lysosomal alpha-glucosidase; 70 kDa lysosomal alpha-glucosidase]	GAA	Homo sapiens (Human)	952
127	P23739	SUIS_RAT	reviewed	Sucrase-isomaltase, intestinal [Cleaved into: Sucrase (EC 3.2.1.48); Isomaltase (EC 3.2.1.10)]	Si	Rattus norvegicus (Rat)	1841
128	Q02401	LPH_RAT	reviewed	Lactase-phlorizin hydrolase (Lactase-glycosylceramidase) [Includes: Lactase (EC 3.2.1.108); Phlorizin hydrolase (EC 3.2.1.62)]	Lct Lph	Rattus norvegicus (Rat)	1928
129	P48147	PPCE_HUMAN	reviewed	Prolyl endopeptidase (PE) (EC 3.4.21.26) (Post-proline cleaving enzyme)	PREP PEP	Homo sapiens (Human)	710
130	P97321	SEPR_MOUSE	reviewed	Prolyl endopeptidase FAP (EC 3.4.21.26) (Dipeptidyl peptidase FAP) (EC 3.4.14.5) (Fibroblast activation protein alpha) (FAPalpha) (Gelatine degradation protease FAP) (EC 3.4.21.-) (Integral membrane serine protease) (Post-proline cleaving enzyme) (Serine integral membrane protease) (SIMP) (Surface-expressed protease) (Seprase) [Cleaved into: Antiplasmin-cleaving enzyme FAP, soluble form (APCE) (EC 3.4.14.5) (EC 3.4.21.-) (EC 3.4.21.26)]	Fap	Mus musculus (Mouse)	761
131	O14578	CTRO_HUMAN	reviewed	Citron Rho-interacting kinase (CRIK) (EC 2.7.11.1) (Serine/threonine-protein kinase 21)	CIT CRIK KIAA0949 STK21	Homo sapiens (Human)	2027
132	O14976	GAK_HUMAN	reviewed	Cyclin-G-associated kinase (EC 2.7.11.1)	GAK	Homo sapiens (Human)	1311
133	O43353	RIPK2_HUMAN	reviewed	Receptor-interacting serine/threonine-protein kinase 2 (EC 2.7.11.1) (CARD-containing interleukin-1 beta-converting enzyme-associated kinase) (CARD-containing IL-1 beta ICE-kinase) (RIP-like-interacting CLARP kinase) (Receptor-interacting protein 2) (RIP-2) (Tyrosine-protein kinase RIPK2) (EC 2.7.10.2)	RIPK2 CARDIAK RICK RIP2 UNQ277/PRO314/PRO34092	Homo sapiens (Human)	540
134	O75676	KS6A4_HUMAN	reviewed	Ribosomal protein S6 kinase alpha-4 (S6K-alpha-4) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 4) (Nuclear mitogen- and stress-activated protein kinase 2) (Ribosomal protein kinase B) (RSKB)	RPS6KA4 MSK2	Homo sapiens (Human)	772
135	O94804	STK10_HUMAN	reviewed	Serine/threonine-protein kinase 10 (EC 2.7.11.1) (Lymphocyte-oriented kinase)	STK10 LOK	Homo sapiens (Human)	968
136	O94956	SO2B1_HUMAN	reviewed	Solute carrier organic anion transporter family member 2B1 (Organic anion transporter B) (OATP-B) (Organic anion transporter polypeptide-related protein 2) (OATP-RP2) (OATPRP2) (Solute carrier family 21 member 9)	SLCO2B1 KIAA0880 OATP2B1 OATPB SLC21A9	Homo sapiens (Human)	709
137	P00519	ABL1_HUMAN	reviewed	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	ABL1 ABL JTK7	Homo sapiens (Human)	1130
138	P07947	YES_HUMAN	reviewed	Tyrosine-protein kinase Yes (EC 2.7.10.2) (Proto-oncogene c-Yes) (p61-Yes)	YES1 YES	Homo sapiens (Human)	543
139	P07948	LYN_HUMAN	reviewed	Tyrosine-protein kinase Lyn (EC 2.7.10.2) (Lck/Yes-related novel protein tyrosine kinase) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn)	LYN JTK8	Homo sapiens (Human)	512
140	P07949	RET_HUMAN	reviewed	Proto-oncogene tyrosine-protein kinase receptor Ret (EC 2.7.10.1) (Cadherin family member 12) (Proto-oncogene c-Ret) [Cleaved into: Soluble RET kinase fragment; Extracellular cell-membrane anchored RET cadherin 120 kDa fragment]	RET CDHF12 CDHR16 PTC RET51	Homo sapiens (Human)	1114
141	P08581	MET_HUMAN	reviewed	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET	Homo sapiens (Human)	1390
142	P08631	HCK_HUMAN	reviewed	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	Homo sapiens (Human)	526
143	P09619	PGFRB_HUMAN	reviewed	Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta) (EC 2.7.10.1) (Beta platelet-derived growth factor receptor) (Beta-type platelet-derived growth factor receptor) (CD140 antigen-like family member B) (Platelet-derived growth factor receptor 1) (PDGFR-1) (CD antigen CD140b)	PDGFRB PDGFR PDGFR1	Homo sapiens (Human)	1106
144	P09769	FGR_HUMAN	reviewed	Tyrosine-protein kinase Fgr (EC 2.7.10.2) (Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog) (Proto-oncogene c-Fgr) (p55-Fgr) (p58-Fgr) (p58c-Fgr)	FGR SRC2	Homo sapiens (Human)	529
145	P16234	PGFRA_HUMAN	reviewed	Platelet-derived growth factor receptor alpha (PDGF-R-alpha) (PDGFR-alpha) (EC 2.7.10.1) (Alpha platelet-derived growth factor receptor) (Alpha-type platelet-derived growth factor receptor) (CD140 antigen-like family member A) (CD140a antigen) (Platelet-derived growth factor alpha receptor) (Platelet-derived growth factor receptor 2) (PDGFR-2) (CD antigen CD140a)	PDGFRA PDGFR2 RHEPDGFRA	Homo sapiens (Human)	1089
146	P17948	VGFR1_HUMAN	reviewed	Vascular endothelial growth factor receptor 1 (VEGFR-1) (EC 2.7.10.1) (Fms-like tyrosine kinase 1) (FLT-1) (Tyrosine-protein kinase FRT) (Tyrosine-protein kinase receptor FLT) (FLT) (Vascular permeability factor receptor)	FLT1 FLT FRT VEGFR1	Homo sapiens (Human)	1338
147	P19525	E2AK2_HUMAN	reviewed	Interferon-induced, double-stranded RNA-activated protein kinase (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 2) (eIF-2A protein kinase 2) (Interferon-inducible RNA-dependent protein kinase) (P1/eIF-2A protein kinase) (Protein kinase RNA-activated) (PKR) (Protein kinase R) (Tyrosine-protein kinase EIF2AK2) (EC 2.7.10.2) (p68 kinase)	EIF2AK2 PKR PRKR	Homo sapiens (Human)	551
148	P21802	FGFR2_HUMAN	reviewed	Fibroblast growth factor receptor 2 (FGFR-2) (EC 2.7.10.1) (K-sam) (KGFR) (Keratinocyte growth factor receptor) (CD antigen CD332)	FGFR2 BEK KGFR KSAM	Homo sapiens (Human)	821
149	P29320	EPHA3_HUMAN	reviewed	Ephrin type-A receptor 3 (EC 2.7.10.1) (EPH-like kinase 4) (EK4) (hEK4) (HEK) (Human embryo kinase) (Tyrosine-protein kinase TYRO4) (Tyrosine-protein kinase receptor ETK1) (Eph-like tyrosine kinase 1)	EPHA3 ETK ETK1 HEK TYRO4	Homo sapiens (Human)	983
150	P29322	EPHA8_HUMAN	reviewed	Ephrin type-A receptor 8 (EC 2.7.10.1) (EPH- and ELK-related kinase) (EPH-like kinase 3) (EK3) (hEK3) (Tyrosine-protein kinase receptor EEK)	EPHA8 EEK HEK3 KIAA1459	Homo sapiens (Human)	1005
151	P29376	LTK_HUMAN	reviewed	Leukocyte tyrosine kinase receptor (EC 2.7.10.1) (Protein tyrosine kinase 1)	LTK TYK1	Homo sapiens (Human)	864
152	P31152	MK04_HUMAN	reviewed	Mitogen-activated protein kinase 4 (MAP kinase 4) (MAPK 4) (EC 2.7.11.24) (Extracellular signal-regulated kinase 4) (ERK-4) (MAP kinase isoform p63) (p63-MAPK)	MAPK4 ERK4 PRKM4	Homo sapiens (Human)	587
153	P35590	TIE1_HUMAN	reviewed	Tyrosine-protein kinase receptor Tie-1 (EC 2.7.10.1)	TIE1 TIE	Homo sapiens (Human)	1138
154	P35916	VGFR3_HUMAN	reviewed	Vascular endothelial growth factor receptor 3 (VEGFR-3) (EC 2.7.10.1) (Fms-like tyrosine kinase 4) (FLT-4) (Tyrosine-protein kinase receptor FLT4)	FLT4 VEGFR3	Homo sapiens (Human)	1363
155	P42684	ABL2_HUMAN	reviewed	Abelson tyrosine-protein kinase 2 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 2) (Abelson-related gene protein) (Tyrosine-protein kinase ARG)	ABL2 ABLL ARG	Homo sapiens (Human)	1182
156	P42685	FRK_HUMAN	reviewed	Tyrosine-protein kinase FRK (EC 2.7.10.2) (FYN-related kinase) (Nuclear tyrosine protein kinase RAK) (Protein-tyrosine kinase 5)	FRK PTK5 RAK	Homo sapiens (Human)	505
157	P45984	MK09_HUMAN	reviewed	Mitogen-activated protein kinase 9 (MAP kinase 9) (MAPK 9) (EC 2.7.11.24) (JNK-55) (Stress-activated protein kinase 1a) (SAPK1a) (Stress-activated protein kinase JNK2) (c-Jun N-terminal kinase 2)	MAPK9 JNK2 PRKM9 SAPK1A	Homo sapiens (Human)	424
158	P48730	KC1D_HUMAN	reviewed	Casein kinase I isoform delta (CKI-delta) (CKId) (EC 2.7.11.1) (Tau-protein kinase CSNK1D) (EC 2.7.11.26)	CSNK1D HCKID	Homo sapiens (Human)	415
159	P51451	BLK_HUMAN	reviewed	Tyrosine-protein kinase Blk (EC 2.7.10.2) (B lymphocyte kinase) (p55-Blk)	BLK	Homo sapiens (Human)	505
160	P52333	JAK3_HUMAN	reviewed	Tyrosine-protein kinase JAK3 (EC 2.7.10.2) (Janus kinase 3) (JAK-3) (Leukocyte janus kinase) (L-JAK)	JAK3	Homo sapiens (Human)	1124
161	P68370	TBA1A_RAT	reviewed	Tubulin alpha-1A chain (Alpha-tubulin 1) (Tubulin alpha-1 chain)	Tuba1a Tuba1	Rattus norvegicus (Rat)	451
162	Q06418	TYRO3_HUMAN	reviewed	Tyrosine-protein kinase receptor TYRO3 (EC 2.7.10.1) (Tyrosine-protein kinase BYK) (Tyrosine-protein kinase DTK) (Tyrosine-protein kinase RSE) (Tyrosine-protein kinase SKY) (Tyrosine-protein kinase TIF)	TYRO3 BYK DTK RSE SKY TIF	Homo sapiens (Human)	890
163	Q08345	DDR1_HUMAN	reviewed	Epithelial discoidin domain-containing receptor 1 (Epithelial discoidin domain receptor 1) (EC 2.7.10.1) (CD167 antigen-like family member A) (Cell adhesion kinase) (Discoidin receptor tyrosine kinase) (HGK2) (Mammary carcinoma kinase 10) (MCK-10) (Protein-tyrosine kinase 3A) (Protein-tyrosine kinase RTK-6) (TRK E) (Tyrosine kinase DDR) (Tyrosine-protein kinase CAK) (CD antigen CD167a)	DDR1 CAK EDDR1 NEP NTRK4 PTK3A RTK6 TRKE	Homo sapiens (Human)	913
164	Q09013	DMPK_HUMAN	reviewed	Myotonin-protein kinase (MT-PK) (EC 2.7.11.1) (DM-kinase) (DMK) (DM1 protein kinase) (DMPK) (Myotonic dystrophy protein kinase)	DMPK DM1PK MDPK	Homo sapiens (Human)	629
165	Q13470	TNK1_HUMAN	reviewed	Non-receptor tyrosine-protein kinase TNK1 (EC 2.7.10.2) (CD38 negative kinase 1)	TNK1	Homo sapiens (Human)	666
166	Q15303	ERBB4_HUMAN	reviewed	Receptor tyrosine-protein kinase erbB-4 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-4) (Tyrosine kinase-type cell surface receptor HER4) (p180erbB4) [Cleaved into: ERBB4 intracellular domain (4ICD) (E4ICD) (s80HER4)]	ERBB4 HER4	Homo sapiens (Human)	1308
167	Q15375	EPHA7_HUMAN	reviewed	Ephrin type-A receptor 7 (EC 2.7.10.1) (EPH homology kinase 3) (EHK-3) (EPH-like kinase 11) (EK11) (hEK11)	EPHA7 EHK3 HEK11	Homo sapiens (Human)	998
168	Q2M2I8	AAK1_HUMAN	reviewed	AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1)	AAK1 KIAA1048	Homo sapiens (Human)	961
169	Q3U3Q1	ULK3_MOUSE	reviewed	Serine/threonine-protein kinase ULK3 (EC 2.7.11.1) (Unc-51-like kinase 3)	Ulk3	Mus musculus (Mouse)	472
170	Q59H18	TNI3K_HUMAN	reviewed	Serine/threonine-protein kinase TNNI3K (EC 2.7.11.1) (Cardiac ankyrin repeat kinase) (Cardiac troponin I-interacting kinase) (TNNI3-interacting kinase)	TNNI3K CARK	Homo sapiens (Human)	835
171	Q6DT37	MRCKG_HUMAN	reviewed	Serine/threonine-protein kinase MRCK gamma (EC 2.7.11.1) (CDC42-binding protein kinase gamma) (DMPK-like gamma) (Myotonic dystrophy kinase-related CDC42-binding kinase gamma) (MRCK gamma) (MRCKG) (Myotonic dystrophy protein kinase-like gamma) (Myotonic dystrophy protein kinase-like alpha)	CDC42BPG DMPK2	Homo sapiens (Human)	1551
172	Q8NI60	ADCK3_HUMAN	reviewed	Atypical kinase ADCK3, mitochondrial (EC 2.7.-.-) (Chaperone activity of bc1 complex-like) (Chaperone-ABC1-like) (aarF domain-containing protein kinase 3)	ADCK3 CABC1 PP265	Homo sapiens (Human)	647
173	Q92887	MRP2_HUMAN	reviewed	Canalicular multispecific organic anion transporter 1 (ATP-binding cassette sub-family C member 2) (Canalicular multidrug resistance protein) (Multidrug resistance-associated protein 2)	ABCC2 CMOAT CMOAT1 CMRP MRP2	Homo sapiens (Human)	1545
174	Q96D53	ADCK4_HUMAN	reviewed	AarF domain-containing protein kinase 4 (EC 2.7.11.-)	ADCK4	Homo sapiens (Human)	544
175	Q96GD4	AURKB_HUMAN	reviewed	Aurora kinase B (EC 2.7.11.1) (Aurora 1) (Aurora- and IPL1-like midbody-associated protein 1) (AIM-1) (Aurora/IPL1-related kinase 2) (ARK-2) (Aurora-related kinase 2) (STK-1) (Serine/threonine-protein kinase 12) (Serine/threonine-protein kinase 5) (Serine/threonine-protein kinase aurora-B)	AURKB AIK2 AIM1 AIRK2 ARK2 STK1 STK12 STK5	Homo sapiens (Human)	344
176	Q9BUB5	MKNK1_HUMAN	reviewed	MAP kinase-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (MAP kinase signal-integrating kinase 1) (MAPK signal-integrating kinase 1) (Mnk1)	MKNK1 MNK1	Homo sapiens (Human)	465
177	Q9H1R3	MYLK2_HUMAN	reviewed	Myosin light chain kinase 2, skeletal/cardiac muscle (MLCK2) (EC 2.7.11.18)	MYLK2	Homo sapiens (Human)	596
178	Q9H2G2	SLK_HUMAN	reviewed	STE20-like serine/threonine-protein kinase (STE20-like kinase) (hSLK) (EC 2.7.11.1) (CTCL tumor antigen se20-9) (STE20-related serine/threonine-protein kinase) (STE20-related kinase) (Serine/threonine-protein kinase 2)	SLK KIAA0204 STK2	Homo sapiens (Human)	1235
179	Q9HBH9	MKNK2_HUMAN	reviewed	MAP kinase-interacting serine/threonine-protein kinase 2 (EC 2.7.11.1) (MAP kinase signal-integrating kinase 2) (MAPK signal-integrating kinase 2) (Mnk2)	MKNK2 GPRK7 MNK2	Homo sapiens (Human)	465
180	Q9NSY1	BMP2K_HUMAN	reviewed	BMP-2-inducible protein kinase (BIKe) (EC 2.7.11.1)	BMP2K BIKE HRIHFB2017	Homo sapiens (Human)	1161
181	Q9P2K8	E2AK4_HUMAN	reviewed	Eukaryotic translation initiation factor 2-alpha kinase 4 (EC 2.7.11.1) (GCN2-like protein)	EIF2AK4 GCN2 KIAA1338	Homo sapiens (Human)	1649
182	Q9UF33	EPHA6_HUMAN	reviewed	Ephrin type-A receptor 6 (EC 2.7.10.1) (EPH homology kinase 2) (EHK-2) (EPH-like kinase 12) (EK12)	EPHA6 EHK2 HEK12	Homo sapiens (Human)	1036
183	Q9UM73	ALK_HUMAN	reviewed	ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246)	ALK	Homo sapiens (Human)	1620
184	Q9UQB9	AURKC_HUMAN	reviewed	Aurora kinase C (EC 2.7.11.1) (Aurora 3) (Aurora/IPL1-related kinase 3) (ARK-3) (Aurora-related kinase 3) (Aurora/IPL1/Eg2 protein 2) (Serine/threonine-protein kinase 13) (Serine/threonine-protein kinase aurora-C)	AURKC AIE2 AIK3 AIRK3 ARK3 STK13	Homo sapiens (Human)	309
185	P42336	PK3CA_HUMAN	reviewed	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform (PI3-kinase subunit alpha) (PI3K-alpha) (PI3Kalpha) (PtdIns-3-kinase subunit alpha) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit alpha) (PtdIns-3-kinase subunit p110-alpha) (p110alpha) (Phosphoinositide-3-kinase catalytic alpha polypeptide) (Serine/threonine protein kinase PIK3CA) (EC 2.7.11.1)	PIK3CA	Homo sapiens (Human)	1068
186	P65502	NADD_STAAN	reviewed	Probable nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase)	nadD SA1422	Staphylococcus aureus (strain N315)	189
187	P43140	ADA1A_RAT	reviewed	Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor)	Adra1a Adra1c	Rattus norvegicus (Rat)	466
188	Q06187	BTK_HUMAN	reviewed	Tyrosine-protein kinase BTK (EC 2.7.10.2) (Agammaglobulinemia tyrosine kinase) (ATK) (B-cell progenitor kinase) (BPK) (Bruton tyrosine kinase)	BTK AGMX1 ATK BPK	Homo sapiens (Human)	659
189	P05186	PPBT_HUMAN	reviewed	Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase liver/bone/kidney isozyme)	ALPL	Homo sapiens (Human)	524
190	Q07820	MCL1_HUMAN	reviewed	Induced myeloid leukemia cell differentiation protein Mcl-1 (Bcl-2-like protein 3) (Bcl2-L-3) (Bcl-2-related protein EAT/mcl1) (mcl1/EAT)	MCL1 BCL2L3	Homo sapiens (Human)	350
191	P35354	PGH2_HUMAN	reviewed	Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (COX-2) (PHS II) (Prostaglandin H2 synthase 2) (PGH synthase 2) (PGHS-2) (Prostaglandin-endoperoxide synthase 2)	PTGS2 COX2	Homo sapiens (Human)	604
192	P50406	5HT6R_HUMAN	reviewed	5-hydroxytryptamine receptor 6 (5-HT-6) (5-HT6) (Serotonin receptor 6)	HTR6	Homo sapiens (Human)	440
193	P32246	CCR1_HUMAN	reviewed	C-C chemokine receptor type 1 (C-C CKR-1) (CC-CKR-1) (CCR-1) (CCR1) (HM145) (LD78 receptor) (Macrophage inflammatory protein 1-alpha receptor) (MIP-1alpha-R) (RANTES-R) (CD antigen CD191)	CCR1 CMKBR1 CMKR1 SCYAR1	Homo sapiens (Human)	355
194	P00374	DYR_HUMAN	reviewed	Dihydrofolate reductase (EC 1.5.1.3)	DHFR	Homo sapiens (Human)	187
195	P00375	DYR_MOUSE	reviewed	Dihydrofolate reductase (EC 1.5.1.3)	Dhfr	Mus musculus (Mouse)	187
196	Q07422	DRTS_TOXGO	reviewed	Bifunctional dihydrofolate reductase-thymidylate synthase (DHFR-TS) [Includes: Dihydrofolate reductase (EC 1.5.1.3); Thymidylate synthase (EC 2.1.1.45)]		Toxoplasma gondii	610
197	P36888	FLT3_HUMAN	reviewed	Receptor-type tyrosine-protein kinase FLT3 (EC 2.7.10.1) (FL cytokine receptor) (Fetal liver kinase-2) (FLK-2) (Fms-like tyrosine kinase 3) (FLT-3) (Stem cell tyrosine kinase 1) (STK-1) (CD antigen CD135)	FLT3 CD135 FLK2 STK1	Homo sapiens (Human)	993
198	P27695	APEX1_HUMAN	reviewed	DNA-(apurinic or apyrimidinic site) lyase (EC 3.1.-.-) (EC 4.2.99.18) (APEX nuclease) (APEN) (Apurinic-apyrimidinic endonuclease 1) (AP endonuclease 1) (APE-1) (REF-1) (Redox factor-1) [Cleaved into: DNA-(apurinic or apyrimidinic site) lyase, mitochondrial]	APEX1 APE APE1 APEX APX HAP1 REF1	Homo sapiens (Human)	318
199	P33981	TTK_HUMAN	reviewed	Dual specificity protein kinase TTK (EC 2.7.12.1) (Phosphotyrosine picked threonine-protein kinase) (PYT)	TTK MPS1 MPS1L1	Homo sapiens (Human)	857
200	P41597	CCR2_HUMAN	reviewed	C-C chemokine receptor type 2 (C-C CKR-2) (CC-CKR-2) (CCR-2) (CCR2) (Monocyte chemoattractant protein 1 receptor) (MCP-1-R) (CD antigen CD192)	CCR2 CMKBR2	Homo sapiens (Human)	374
201	P53350	PLK1_HUMAN	reviewed	Serine/threonine-protein kinase PLK1 (EC 2.7.11.21) (Polo-like kinase 1) (PLK-1) (Serine/threonine-protein kinase 13) (STPK13)	PLK1 PLK	Homo sapiens (Human)	603
202	Q92769	HDAC2_HUMAN	reviewed	Histone deacetylase 2 (HD2) (EC 3.5.1.98)	HDAC2	Homo sapiens (Human)	488
203	Q9BY41	HDAC8_HUMAN	reviewed	Histone deacetylase 8 (HD8) (EC 3.5.1.98)	HDAC8 HDACL1 CDA07	Homo sapiens (Human)	377
204	P31639	SC5A2_HUMAN	reviewed	Sodium/glucose cotransporter 2 (Na(+)/glucose cotransporter 2) (Low affinity sodium-glucose cotransporter) (Solute carrier family 5 member 2)	SLC5A2 SGLT2	Homo sapiens (Human)	672
205	P00784	PAPA1_CARPA	reviewed	Papain (EC 3.4.22.2) (Papaya proteinase I) (PPI) (allergen Car p 1)		Carica papaya (Papaya)	345
206	Q05469	LIPS_HUMAN	reviewed	Hormone-sensitive lipase (HSL) (EC 3.1.1.79)	LIPE	Homo sapiens (Human)	1076
207	P25103	NK1R_HUMAN	reviewed	Substance-P receptor (SPR) (NK-1 receptor) (NK-1R) (Tachykinin receptor 1)	TACR1 NK1R TAC1R	Homo sapiens (Human)	407
208	P46663	BKRB1_HUMAN	reviewed	B1 bradykinin receptor (B1R) (BK-1 receptor)	BDKRB1 BRADYB1	Homo sapiens (Human)	353
209	P07753	PSBA_CHLRE	reviewed	Photosystem II protein D1 (PSII D1 protein) (EC 1.10.3.9) (32 kDa thylakoid membrane protein) (Photosystem II Q(B) protein)	psbA	Chlamydomonas reinhardtii (Chlamydomonas smithii)	352
210	Q02763	TIE2_HUMAN	reviewed	Angiopoietin-1 receptor (EC 2.7.10.1) (Endothelial tyrosine kinase) (Tunica interna endothelial cell kinase) (Tyrosine kinase with Ig and EGF homology domains-2) (Tyrosine-protein kinase receptor TEK) (Tyrosine-protein kinase receptor TIE-2) (hTIE2) (p140 TEK) (CD antigen CD202b)	TEK TIE2 VMCM VMCM1	Homo sapiens (Human)	1124
211	O76074	PDE5A_HUMAN	reviewed	cGMP-specific 3',5'-cyclic phosphodiesterase (EC 3.1.4.35) (cGMP-binding cGMP-specific phosphodiesterase) (CGB-PDE)	PDE5A PDE5	Homo sapiens (Human)	875
212	P45452	MMP13_HUMAN	reviewed	Collagenase 3 (EC 3.4.24.-) (Matrix metalloproteinase-13) (MMP-13)	MMP13	Homo sapiens (Human)	471
213	P03956	MMP1_HUMAN	reviewed	Interstitial collagenase (EC 3.4.24.7) (Fibroblast collagenase) (Matrix metalloproteinase-1) (MMP-1) [Cleaved into: 22 kDa interstitial collagenase; 27 kDa interstitial collagenase]	MMP1 CLG	Homo sapiens (Human)	469
214	P29475	NOS1_HUMAN	reviewed	Nitric oxide synthase, brain (EC 1.14.13.39) (Constitutive NOS) (NC-NOS) (NOS type I) (Neuronal NOS) (N-NOS) (nNOS) (Peptidyl-cysteine S-nitrosylase NOS1) (bNOS)	NOS1	Homo sapiens (Human)	1434
215	O43497	CAC1G_HUMAN	reviewed	Voltage-dependent T-type calcium channel subunit alpha-1G (Cav3.1c) (NBR13) (Voltage-gated calcium channel subunit alpha Cav3.1)	CACNA1G KIAA1123	Homo sapiens (Human)	2377
216	P50579	MAP2_HUMAN	reviewed	Methionine aminopeptidase 2 (MAP 2) (MetAP 2) (EC 3.4.11.18) (Initiation factor 2-associated 67 kDa glycoprotein) (p67) (p67eIF2) (Peptidase M)	METAP2 MNPEP P67EIF2	Homo sapiens (Human)	478
217	P23977	SC6A3_RAT	reviewed	Sodium-dependent dopamine transporter (DA transporter) (DAT) (Solute carrier family 6 member 3)	Slc6a3	Rattus norvegicus (Rat)	619
