Index	TID	Accession	Synonym	Description
429	10575	P22437	Cox-1 	Prostaglandin G/H synthase 1
430	10576	P19327	5ht1a	5-hydroxytryptamine receptor 1A
431	10577	P28564	5ht1b	5-hydroxytryptamine receptor 1B
432	13067	P30553	Cckbr	Gastrin/cholecystokinin type B receptor
433	106658	Q9NJH6	AO-AChE	Ace-orthologous acetylcholinesterase
434	13064	P24046	GABRR1	Gamma-aminobutyric acid receptor subunit rho-1
435	10089	Q9HBH1	PDF1A	Peptide deformylase, mitochondrial
436	13061	P18031	PTP1B	Tyrosine-protein phosphatase non-receptor type 1
437	10087	P27707	DCK	Deoxycytidine kinase
438	106656	Q9FYV8	Protoporphyrinogen IX oxidase	Protoporphyrinogen IX oxidase
439	10081	P00766	Chymotrypsinogen A	Chymotrypsinogen A
440	106654	Q9AR38	None	Protoporphyrinogen oxidase, chloroplastic
441	13068	P06537	Grl 	Glucocorticoid receptor
442	100855	Q86V86	PIM3	Serine/threonine-protein kinase pim-3
443	105619	Q10469	MGAT2	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase
444	105555	P69834	MCT 	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, chloroplastic
445	102767	Q96S37	OATL4 	Solute carrier family 22 member 12
446	11060	P43166	CA7	Carbonic anhydrase 7
447	12955	P07384	CANPL1	Calpain-1 catalytic subunit
448	12956	Q14831	GPRC1G 	Metabotropic glutamate receptor 7
449	102555	Q81VW8	folP	Dihydropteroate synthase
450	12950	P35400	Gprc1g 	Metabotropic glutamate receptor 7
451	105170	Q13115	MKP2 	Dual specificity protein phosphatase 4
452	12952	Q16790	G250 	Carbonic anhydrase 9
453	104145	P04303	TS17	Uracil-DNA glycosylase
454	109528	P08176	DERP1	Peptidase 1
455	102678	P21860	HER3	Receptor tyrosine-protein kinase erbB-3
456	104140	Q9UNH5	CDC14A	Dual specificity protein phosphatase CDC14A
457	20067	P10274	prt	Gag-Pro polyprotein
458	20062	P08191	None	Protein FimH
459	20069	P10482	bglA	Beta-glucosidase A
460	107671	Q3SYC2	DC5 	2-acylglycerol O-acyltransferase 2
461	104639	Q9JHI3	Oatp2b1 	Solute carrier organic anion transporter family member 2B1
462	101130	Q59H18	CARK	Serine/threonine-protein kinase TNNI3K
463	101384	P24387	CRFBP	Corticotropin-releasing factor-binding protein
464	101387	P53686	HST2	NAD-dependent protein deacetylase HST2
465	12480	P34978	Tbxa2r	Thromboxane A2 receptor
466	12485	P08485	Chrm-4	Muscarinic acetylcholine receptor M4
467	104148	O35956	Oat1	Solute carrier family 22 member 6
468	12488	Q4QQW4	Hdac1	Histone deacetylase 1
469	101429	P56068	glr	Glutamate racemase
470	101131	Q7L7X3	KIAA1361 	Serine/threonine-protein kinase TAO1
471	109458	Q9QYM2	Parg	Poly(ADP-ribose) glycohydrolase
472	109455	P40306	LMP10 	Proteasome subunit beta type-10
473	109454	Q8WVY7	UBLCP1	Ubiquitin-like domain-containing CTD phosphatase 1
474	11682	P48067	SLC6A9	Sodium- and chloride-dependent glycine transporter 1
475	109450	Q79EC5	parE	Toxin ParE
476	109453	Q15678	PEZ 	Tyrosine-protein phosphatase non-receptor type 14
477	109452	Q9NP77	None	RNA polymerase II subunit A C-terminal domain phosphatase SSU72
478	11119	P14740	Cd26	Dipeptidyl peptidase 4
479	11118	P48066	GABT3 	Sodium- and chloride-dependent GABA transporter 3
480	11111	O62698	COX2	Prostaglandin G/H synthase 2
481	11110	P22894	CLG1	Neutrophil collagenase
482	11113	P04798	CYP1A1	Cytochrome P450 1A1
483	11112	Q05769	Cox-2 	Prostaglandin G/H synthase 2
484	11114	P42261	GLUH1 	Glutamate receptor 1
485	11117	P28572	Slc6a9	Sodium- and chloride-dependent glycine transporter 1
486	103142	O75311	GLRA3	Glycine receptor subunit alpha-3
487	109850	Q9ERT1	TRH-R2	Thyrotropin-releasing hormone receptor 2
488	109853	Q64F92	P2X7	p2X7 purinoceptor
489	109852	A9QW74	P2X7	P2X purinoceptor
490	109857	Q80W94	Dgat2l5 	2-acylglycerol O-acyltransferase 2
491	105169	Q9UM81	PTPsigma	PTPsigma-(Brain)
492	11446	P48065	SLC6A12	Sodium- and chloride-dependent betaine transporter
493	107601	Q14330	GPCRW	N-arachidonyl glycine receptor
494	109183	P37172	Acvrlk2 	Activin receptor type-1
495	101549	P97520	C5r1	C5a anaphylatoxin chemotactic receptor 1
496	108314	P56819	Bace	Beta-secretase 1
497	104068	Q86VL8	MATE2	Multidrug and toxin extrusion protein 2
498	13	P62593	None	Beta-lactamase TEM
499	104067	Q96FL8	MATE1	Multidrug and toxin extrusion protein 1
500	100602	P9WIA1	ptpA	Probable low molecular weight protein-tyrosine-phosphatase
501	12828	Q00526	CDKN3	Cyclin-dependent kinase 3
502	12829	P50613	CAK 	Cyclin-dependent kinase 7
503	12824	P30551	Cckar	Cholecystokinin receptor type A
504	12825	P49682	GPR9	C-X-C chemokine receptor type 3
505	109513	Q9H2J7	B0AT2 	Sodium-dependent neutral amino acid transporter B(0)AT2
506	12821	Q8NY00	metS	Methionine--tRNA ligase
507	12822	P53790	Sglt1	Sodium/glucose cotransporter 1
508	12476	P31424	Gprc1e 	Metabotropic glutamate receptor 5
509	103707	Q15056	KIAA0038 	Eukaryotic translation initiation factor 4H
510	11024	P45452	MMP13	Collagenase 3
511	101544	P9WIJ3	def	Peptide deformylase
512	103702	A3EZJ3	NS3	Genome polyprotein
513	103700	Q9HC97	GPR35	G-protein coupled receptor 35
514	11766	P42893	Ece1	Endothelin-converting enzyme 1
515	12474	P15823	Adra1b	Alpha-1B adrenergic receptor
516	11028	Q8VCT3	Rnpep	Aminopeptidase B
517	101010	Q9X6V3	spoVD	Penicillin-binding protein 2
518	103591	Q86SK9	ACOD4 	Stearoyl-CoA desaturase 5
519	101012	Q9XYC7	HDAC1	Histone deacetylase
520	107607	Q13336	HUT11 	Urea transporter 1
521	108000	Q9H8M2	BRD9	Bromodomain-containing protein 9
522	12661	P06756	MSK8 	Integrin alpha-V
523	103960	O60240	PERI 	Perilipin-1
524	11569	P29323	DRT 	Ephrin type-B receptor 2
525	11560	P43003	EAAT1 	Excitatory amino acid transporter 1
526	11562	O95136	EDG5	Sphingosine 1-phosphate receptor 2
527	11564	O14983	ATP2A1	Sarcoplasmic/endoplasmic reticulum calcium ATPase 1
528	11565	P30305	CDC25HU2	M-phase inducer phosphatase 2
529	11567	P09668	CPSB	Pro-cathepsin H
530	103562	Q83TT7	ampC	AmpC
531	103561	Q80SS6	Tgr5	G-protein coupled bile acid receptor 1
532	103560	Q7TMR0	Prcp	Lysosomal Pro-X carboxypeptidase
533	105177	P35560	Romk1	ATP-sensitive inward rectifier potassium channel 1
534	11364	Q13131	AMPK1	5'-AMP-activated protein kinase catalytic subunit alpha-1
535	11365	P10635	CYP2DL1	Cytochrome P450 2D6
536	11362	P42336	PIK3CA	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform
537	11360	P51160	PDEA2	Cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha'
538	100148	O70174	Acra4	Neuronal acetylcholine receptor subunit alpha-4
539	106596	P06987	None	Histidine biosynthesis bifunctional protein HisB
540	17039	P02550	TUBA1A	Tubulin alpha-1A chain
541	100140	P27448	CTAK1 	MAP/microtubule affinity-regulating kinase 3
542	100142	P26435	Ntcp	Sodium/bile acid cotransporter
543	100144	P39748	RAD2	Flap endonuclease 1
544	100145	P28715	ERCM2 	DNA repair protein complementing XP-G cells
545	100146	O43174	CYP26 	Cytochrome P450 26A1
546	100147	P06730	EIF4EL1 	Eukaryotic translation initiation factor 4E
547	104399	P49281	DCT1 	Natural resistance-associated macrophage protein 2
548	100818	P97477	Aik 	Aurora kinase A
549	20077	P14207	FOLR2	Folate receptor beta
550	19605	P03354	gag-pro-pol	Gag-Pro-Pol polyprotein
551	100817	Q9Z2J6	Crth2	Prostaglandin D2 receptor 2
552	19607	P00800	npr	Thermolysin
553	19606	O87171	lsdA	Lignostilbene alpha, beta-dioxygenase
554	19601	Q9XDB3	ftsI_1 	Cell division protein FtsI [Peptidoglycan synthetase] / Transpeptidase, Penicillin binding protein transpeptidase domain, Penicillin-binding protein 3
555	19600	Q6RY99	Fbxo23	Tetraspanin
556	104397	P42677	MPS1	40S ribosomal protein S27
557	10706	P04745	AMY1	Alpha-amylase 1
558	12729	P49888	STE	Estrogen sulfotransferase
559	12725	Q9Y5Y6	PRSS14 	Suppressor of tumorigenicity 14 protein
560	12724	P51812	ISPK1 	Ribosomal protein S6 kinase alpha-3
561	12723	P16109	GMRP 	P-selectin
562	12722	P18337	Lnhr 	L-selectin
563	12721	P14151	LNHR 	L-selectin
564	101149	A2RP81	blaPER-2	Beta-lactamase
565	101148	A0MJA5	None	Niemann-Pick C1-like 1 protein
566	10989	Q9D6N1	Car13	Carbonic anhydrase 13
567	10985	P28336	NMBR	Neuromedin-B receptor
568	101142	Q82122	Genome polyprotein	Genome polyprotein
569	101141	Q81RP3	None	NH(3)-dependent NAD(+) synthetase
570	101140	Q81R22	dfrA	Dihydrofolate reductase
571	10981	P16610	Tac2r	Substance-K receptor
572	10980	P35968	FLK1 	Vascular endothelial growth factor receptor 2
573	10983	P16177	Tac3r	Neuromedin-K receptor
574	10982	P29371	NK3R 	Neuromedin-K receptor
575	11299	P58406	Hrh3	Histamine H3 receptor
576	104269	P19096	Fasn	Fatty acid synthase
577	104268	Q96NT5	HCP1 	Proton-coupled folate transporter
578	104265	Q58F21	BRDT	Bromodomain testis-specific protein
579	11293	Q9Y256	FACE2 	CAAX prenyl protease 2
580	11290	Q9H3N8	GPCR105	Histamine H4 receptor
581	11291	O00519	FAAH1	Fatty-acid amide hydrolase 1
582	11296	P31390	Hrh1	Histamine H1 receptor
583	104263	P31228	DDO	D-aspartate oxidase
584	104487	O00487	POH1	26S proteasome non-ATPase regulatory subunit 14
585	104486	P54829	PTPN5	Tyrosine-protein phosphatase non-receptor type 5
586	104480	P54149	MSRA	Mitochondrial peptide methionine sulfoxide reductase
587	104483	O75874	PICD	Isocitrate dehydrogenase [NADP] cytoplasmic
588	101263	Q8R455	Cmr1	Transient receptor potential cation channel subfamily M member 8
589	105606	P25122	Kcnc1	Potassium voltage-gated channel subfamily C member 1
590	100928	Q9QZT4	Pla2g2f	Group IIF secretory phospholipase A2
591	259	P34972	CB2A 	Cannabinoid receptor 2
592	252	P29274	ADORA2	Adenosine receptor A2a
593	100923	Q0PXQ5	ureB	Urease subunit beta
594	250	P25103	NK1R 	Substance-P receptor
595	251	P25105	PAFR	Platelet-activating factor receptor
596	100926	Q9P8Q7	ICL1	Isocitrate lyase
597	100927	Q9QXD6	Fbp 	Fructose-1,6-bisphosphatase 1
598	100925	Q9P2K8	GCN2 	eIF-2-alpha kinase GCN2
599	11740	Q62688	Plcl1	Inactive phospholipase C-like protein 1
600	12038	P80192	MLK1 	Mitogen-activated protein kinase kinase kinase 9
601	101033	Q15835	RHOK	Rhodopsin kinase
602	101032	Q15831	LKB1 	Serine/threonine-protein kinase STK11
603	101031	Q15750	MAP3K7IP1	TGF-beta-activated kinase 1 and MAP3K7-binding protein 1
604	101030	Q15569	TESK1	Dual specificity testis-specific protein kinase 1
605	11748	P08238	HSP90B 	Heat shock protein HSP 90-beta
606	12030	P33527	MRP 	Multidrug resistance-associated protein 1
607	12037	Q9H1R3	MYLK2	Myosin light chain kinase 2, skeletal/cardiac muscle
608	100030	P0A6D3	None	3-phosphoshikimate 1-carboxyvinyltransferase
609	104008	Q9BHT9	G6PD-6PGL	Glucose-6-phosphate dehydrogenase-6-phosphogluconolactonase
610	11584	Q05754	Dbh	Dopamine beta-hydroxylase
611	100033	P03438	HA	Hemagglutinin
612	100034	Q94F81	hda106	HD2 type histone deacetylase HDA106
613	11583	P15101	DBH	Dopamine beta-hydroxylase
614	100036	O30463	folA	Dihydrofolate reductase
615	11581	O35435	Dhodh	Dihydroorotate dehydrogenase (quinone), mitochondrial
616	101521	P00751	BF 	Complement factor B
617	104003	Q96LD8	DEN1 	Sentrin-specific protease 8
618	101525	P01256	Calc	Calcitonin gene-related peptide 1
619	104004	Q96P20	C1orf7 	NACHT, LRR and PYD domains-containing protein 3
620	11589	P28704	Nr2b2	Retinoic acid receptor RXR-beta
621	101261	Q8R0X7	Sgpl1	Sphingosine-1-phosphate lyase 1
622	102951	P22985	Xdh	Xanthine dehydrogenase/oxidase
623	102950	P29598	Plau	Urokinase-type plasminogen activator
624	102953	P08019	SGA	Glucoamylase, intracellular sporulation-specific
625	168	Q13639	HTR4	5-hydroxytryptamine receptor 4
626	169	Q13936	CACH2 	Voltage-dependent L-type calcium channel subunit alpha-1C
627	102957	Q12051	BTS1	Geranylgeranyl pyrophosphate synthase
628	164	Q09428	HRINS 	ATP-binding cassette sub-family C member 8
629	165	Q12809	ERG 	Potassium voltage-gated channel subfamily H member 2
630	166	Q12879	NMDAR2A	Glutamate receptor ionotropic, NMDA 2A
631	160	Q03431	PTHR 	Parathyroid hormone/parathyroid hormone-related peptide receptor
632	161	Q05586	NMDAR1	Glutamate receptor ionotropic, NMDA 1
633	163	Q07869	NR1C1 	Peroxisome proliferator-activated receptor alpha
634	102420	P34947	GPRK5	G protein-coupled receptor kinase 5
635	102423	Q16548	BCL2L5 	Bcl-2-related protein A1
636	12104	P06536	Grl	Glucocorticoid receptor
637	12103	Q00960	Grin2b	Glutamate receptor ionotropic, NMDA 2B
638	12102	Q00959	Grin2a	Glutamate receptor ionotropic, NMDA 2A
639	12100	P00959	None	Methionine--tRNA ligase
640	105601	P9WP55	cysK	O-acetylserine sulfhydrylase
641	12109	P21980	TGM2	Protein-glutamine gamma-glutamyltransferase 2
642	104135	Q38DI7	6-phosphogluconate dehydrogenase, decarboxylating	6-phosphogluconate dehydrogenase, decarboxylating
643	101454	Q9ERM3	Dgat	Diacylglycerol O-acyltransferase 1
644	101457	Q9F663	kpc 	Carbapenem-hydrolyzing beta-lactamase KPC
645	101456	Q9EXV5	bla	Beta-lactamase
646	11638	P28482	ERK2 	Mitogen-activated protein kinase 1
647	11639	P27361	ERK1 	Mitogen-activated protein kinase 3
648	11634	P15145	ANPEP	Aminopeptidase N
649	11635	P17252	PKCA 	Protein kinase C alpha type
650	11636	P05771	PKCB 	Protein kinase C beta type
651	11637	Q16512	PAK1 	Serine/threonine-protein kinase N1
652	104139	Q9NY91	SAAT1 	Low affinity sodium-glucose cotransporter
653	11631	P21453	CHEDG1 	Sphingosine 1-phosphate receptor 1
654	11632	Q29550	Liver carboxylesterase	Liver carboxylesterase
655	12619	P10144	CGL1 	Granzyme B
656	105602	O14649	TASK 	Potassium channel subfamily K member 3
657	10167	Q14832	GPRC1C 	Metabotropic glutamate receptor 3
658	20091	P28843	Cd26	Dipeptidyl peptidase 4
659	20092	P31639	SGLT2	Sodium/glucose cotransporter 2
660	10163	P10632	CYP2C8	Cytochrome P450 2C8
661	20095	P35557	GCK	Glucokinase
662	20097	P38936	CAP20 	Cyclin-dependent kinase inhibitor 1
663	10368	P48730	HCKID	Casein kinase I isoform delta
664	10364	P19328	Adra2b	Alpha-2B adrenergic receptor
665	102448	Q8T6T2	None	Inosine-5'-monophosphate dehydrogenase
666	108315	Q99KQ4	Pbef1	Nicotinamide phosphoribosyltransferase
667	102399	Q96RG2	KIAA0135	PAS domain-containing serine/threonine-protein kinase
668	105533	Q7YWJ9	Ache	Carboxylic ester hydrolase
669	105603	Q9NPC2	TASK3	Potassium channel subfamily K member 9
670	11617	P24723	PKCL 	Protein kinase C eta type
671	102393	P61586	ARH12 	Transforming protein RhoA
672	102391	Q96PF2	DGSG 	Testis-specific serine/threonine-protein kinase 2
673	102397	Q5SC61	MAPK-1	Mitogen-activated protein kinase
674	102395	Q61221	Hif1a	Hypoxia-inducible factor 1-alpha
675	102394	O95342	BSEP	Bile salt export pump
676	105604	O95069	TREK 	Potassium channel subfamily K member 2
677	105605	Q13123	RED 	Protein Red
678	10763	P30099	Cyp11b-2	Cytochrome P450 11B2, mitochondrial
679	105607	Q92953	KCNB2	Potassium voltage-gated channel subfamily B member 2
680	10765	P23786	CPT1	Carnitine O-palmitoyltransferase 2, mitochondrial
681	10764	P32198	Cpt-1 	Carnitine O-palmitoyltransferase 1, liver isoform
682	10767	P09811	Lgp	Glycogen phosphorylase, liver form
683	12214	P43403	SRK	Tyrosine-protein kinase ZAP-70
684	10769	P29401	TKT	Transketolase
685	101334	P19602	LTA4H	Leukotriene A-4 hydrolase
686	102551	P00651	rntA	Guanyl-specific ribonuclease T1
687	102882	P35344	IL8RB	C-X-C chemokine receptor type 2
688	102552	P54616	yjbW	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
689	105530	P93836	PDS1	4-hydroxyphenylpyruvate dioxygenase
690	101337	P20916	GMA	Myelin-associated glycoprotein
691	100340	P31649	Gabt2 	Sodium- and chloride-dependent GABA transporter 2
692	10509	O75419	CDC45L 	Cell division control protein 45 homolog
693	104149	O77344	Glycogen synthase kinase 3	Glycogen synthase kinase 3
694	101218	Q8N2K0	C20orf22	Monoacylglycerol lipase ABHD12
695	10501	P47746	Cnr1	Cannabinoid receptor 1
696	10502	P20272	Skr6	Cannabinoid receptor 1
697	10505	P15085	CPA	Carboxypeptidase A1
698	10506	P14384	CPM	Carboxypeptidase M
699	13070	Q9CWJ9	Purh	Bifunctional purine biosynthesis protein PURH
700	13071	P17439	Gba	Glucosylceramidase
701	13074	P54098	MDP1 	DNA polymerase subunit gamma-1
702	13076	P23978	Gabt1 	Sodium- and chloride-dependent GABA transporter 1
703	13077	P23977	Slc6a3	Sodium-dependent dopamine transporter
704	106642	Q63010	Liver carboxylesterase B-1	Liver carboxylesterase B-1
705	106647	Q70GC6	NS5B	RNA-directed RNA polymerase
706	11965	P16885	PLCG2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2
707	11966	O14939	PLD2	Phospholipase D2
708	11967	P28340	POLD	DNA polymerase delta catalytic subunit
709	12127	Q8BW75	Maob	Amine oxidase [flavin-containing] B
710	104332	Q9Y2J8	KIAA0994 	Protein-arginine deiminase type-2
711	102770	Q9Y2K2	KIAA0999 	Serine/threonine-protein kinase SIK3
712	10630	P23979	5ht3 	5-hydroxytryptamine receptor 3A
713	11968	P48147	PEP	Prolyl endopeptidase
714	11969	P17612	PKACA	cAMP-dependent protein kinase catalytic subunit alpha
715	12921	Q64133	Maoa	Amine oxidase [flavin-containing] A
716	12920	P35610	ACACT 	Sterol O-acyltransferase 1
717	108024	Q96Q83	ABH3 	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3
718	109519	P13864	Dnmt 	DNA (cytosine-5)-methyltransferase 1
719	108020	P40337	VHL	Von Hippel-Lindau disease tumor suppressor
720	109514	Q04756	HGFAC	Hepatocyte growth factor activator
721	109515	Q5FVF5	Jak1	Jak1 protein
722	105534	P07140	Ace	Acetylcholinesterase
723	101216	P42858	HD 	Huntingtin
724	106559	C0L093	Acetolactate synthase	Acetolactate synthase
725	10216	Q05513	PKC2	Protein kinase C zeta type
726	10210	P00451	F8C	Coagulation factor VIII
727	10213	P00772	ELA1	Chymotrypsin-like elastase family member 1
728	108311	P32249	EBI2	G-protein coupled receptor 183
729	106701	Q9XQA6	psbA	Photosystem II protein D1
730	10412	Q8HXG6	NDUFA11	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11
731	10185	P55263	ADK	Adenosine kinase
732	10184	P21452	NK2R 	Substance-K receptor
733	10187	P42575	ICH1 	Caspase-2
734	20075	P12530	ALOX15	Arachidonate 15-lipoxygenase
735	20072	P11440	Cdc2 	Cyclin-dependent kinase 1
736	20073	P11509	CYP2A3	Cytochrome P450 2A6
737	10183	P31391	SSTR4	Somatostatin receptor type 4
738	107603	P11137	MAP2	Microtubule-associated protein 2
739	10410	Q99571	P2RX4	P2X purinoceptor 4
740	10189	P15090	FABP4	Fatty acid-binding protein, adipocyte
741	10188	Q16539	CSBP 	Mitogen-activated protein kinase 14
742	20079	P15108	HSC82	ATP-dependent molecular chaperone HSC82
743	105608	Q9R117	Tyk2	Non-receptor tyrosine-protein kinase TYK2
744	103931	Q5TKS5	fabI	Enoyl-ACP reductase
745	105434	Q9RMI3	None	Enoyl-[acyl-carrier-protein] reductase [NADPH]
746	103932	Q64546	CYP11B3	Cytochrome P450c11B3
747	17144	Q9TVW2	AK	Adenosine kinase
748	100597	P9WG47	gyrA	DNA gyrase subunit A
749	105538	P9WNV1	lig	DNA ligase A
750	100224	Q5DUH8	gal1	Alpha-galactosidase
751	105539	P07753	psbA	Photosystem II protein D1
752	11108	P33434	Mmp2	72 kDa type IV collagenase
753	11109	P08254	STMY1	Stromelysin-1
754	59	P10827	EAR7 	Thyroid hormone receptor alpha
755	55	P09917	LOG5	Arachidonate 5-lipoxygenase
756	54	P09884	POLA	DNA polymerase alpha catalytic subunit
757	57	P10276	NR1B1	Retinoic acid receptor alpha
758	56	P10275	DHTR 	Androgen receptor
759	51	P08908	ADRB2RL1 	5-hydroxytryptamine receptor 1A
760	11107	P22411	CD26	Dipeptidyl peptidase 4
761	11104	Q61616	Drd1a 	D(1A) dopamine receptor
762	52	P08913	ADRA2R 	Alpha-2A adrenergic receptor
763	101249	P17157	SSG3	Cyclin-dependent protein kinase PHO85
764	103170	Q9Y2T6	GPR55	G-protein coupled receptor 55
765	108312	Q3U6B2	Ebi2	G-protein coupled receptor 183
766	109868	Q86VZ5	MOB 	Phosphatidylcholine:ceramide cholinephosphotransferase 1
767	109866	Q28309	ADORA3	Adenosine receptor A3
768	109860	A8PUY1	LIP1, secretory lipase (Family 3)	LIP1, secretory lipase (Family 3)
769	109861	Q9Z1L0	Pik3cb	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform
770	109863	Q61180	Scnn1a	Amiloride-sensitive sodium channel subunit alpha
771	104371	Q9WTU3	Nbna1	Sodium channel protein type 8 subunit alpha
772	17042	P03359	pol	Pol polyprotein
773	50	P08588	ADRB1R 	Beta-1 adrenergic receptor
774	104336	Q28905	PTGFR	Prostaglandin F2-alpha receptor
775	109887	P46934	KIAA0093 	E3 ubiquitin-protein ligase NEDD4
776	12589	Q14940	NHE5	Sodium/hydrogen exchanger 5
777	109885	Q9IQ47	PA	Polymerase acidic protein
778	53	P0AES4	hisW 	DNA gyrase subunit A
779	109880	P47752	Edg5	Sphingosine 1-phosphate receptor 2
780	20132	Q01469	FABP5	Fatty acid-binding protein, epidermal
781	12851	P39877	PLA2G5	Calcium-dependent phospholipase A2
782	12850	O00483	NDUFA4	Cytochrome c oxidase subunit NDUFA4
783	11105	Q8IW41	PRAK	MAP kinase-activated protein kinase 5
784	12855	P30419	NMT	Glycylpeptide N-tetradecanoyltransferase 1
785	10024	P43144	Acra9	Neuronal acetylcholine receptor subunit alpha-9
786	12857	Q9NRR2	PRSS31 	Tryptase gamma
787	12584	Q9Y337	SCTE	Kallikrein-5
788	11036	P31421	Gprc1b 	Metabotropic glutamate receptor 2
789	11037	P29475	NOS1	Nitric oxide synthase, brain
790	103770	Q9H2X9	KCC2 	Solute carrier family 12 member 5
791	10797	Q13324	CRF2R 	Corticotropin-releasing factor receptor 2
