yourlist:M2016071314483A1C7ED25EE8374758DF3FD545FD1ADE30N	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P54616	P54616	FABI_BACSU	reviewed	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI (ENR) (EC 1.3.1.9) (Cold shock-induced protein 15) (CSI15) (NADH-dependent enoyl-ACP reductase) (Vegetative protein 241) (VEG241)	fabI yjbW BSU11720	Bacillus subtilis (strain 168)	258
P0AEK4	P0AEK4	FABI_ECOLI	reviewed	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI (ENR) (EC 1.3.1.9) (NADH-dependent enoyl-ACP reductase)	fabI envM b1288 JW1281	Escherichia coli (strain K12)	262
Q6GI75	Q6GI75	FABI_STAAR	reviewed	Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI (ENR) (EC 1.3.1.39) (NADPH-dependent enoyl-ACP reductase)	fabI SAR0978	Staphylococcus aureus (strain MRSA252)	256
P31652	P31652	SC6A4_RAT	reviewed	Sodium-dependent serotonin transporter (SERT) (5HT transporter) (5HTT) (Solute carrier family 6 member 4)	Slc6a4	Rattus norvegicus (Rat)	630
O09114	O09114	PTGDS_MOUSE	reviewed	Prostaglandin-H2 D-isomerase (EC 5.3.99.2) (Glutathione-independent PGD synthase) (Lipocalin-type prostaglandin-D synthase) (Prostaglandin-D2 synthase) (L-PGDS) (PGD2 synthase) (PGDS2)	Ptgds	Mus musculus (Mouse)	189
P35370	P35370	OPRX_RAT	reviewed	Nociceptin receptor (Kappa-type 3 opioid receptor) (KOR-3) (Orphanin FQ receptor) (ROR-C) (XOR1)	Oprl1 Oor Oprl	Rattus norvegicus (Rat)	367
P19156	P19156	ATP4A_PIG	reviewed	Potassium-transporting ATPase alpha chain 1 (EC 3.6.3.10) (Gastric H(+)/K(+) ATPase subunit alpha) (Proton pump)	ATP4A	Sus scrofa (Pig)	1034
P15101	P15101	DOPO_BOVIN	reviewed	Dopamine beta-hydroxylase (EC 1.14.17.1) (Dopamine beta-monooxygenase) [Cleaved into: Soluble dopamine beta-hydroxylase]	DBH	Bos taurus (Bovine)	610
P22734	P22734	COMT_RAT	reviewed	Catechol O-methyltransferase (EC 2.1.1.6)	Comt	Rattus norvegicus (Rat)	264
P08482	P08482	ACM1_RAT	reviewed	Muscarinic acetylcholine receptor M1	Chrm1 Chrm-1	Rattus norvegicus (Rat)	460
P10980	P10980	ACM2_RAT	reviewed	Muscarinic acetylcholine receptor M2	Chrm2 Chrm-2	Rattus norvegicus (Rat)	466
P58295	P58295	SC6A5_RAT	reviewed	Sodium- and chloride-dependent glycine transporter 2 (GlyT-2) (GlyT2) (Solute carrier family 6 member 5)	Slc6a5 Glyt2	Rattus norvegicus (Rat)	799
P28572	P28572	SC6A9_RAT	reviewed	Sodium- and chloride-dependent glycine transporter 1 (GlyT-1) (GlyT1) (Solute carrier family 6 member 9)	Slc6a9	Rattus norvegicus (Rat)	638
P21836	P21836	ACES_MOUSE	reviewed	Acetylcholinesterase (AChE) (EC 3.1.1.7)	Ache	Mus musculus (Mouse)	614
P0AES4	P0AES4	GYRA_ECOLI	reviewed	DNA gyrase subunit A (EC 5.99.1.3)	gyrA hisW nalA parD b2231 JW2225	Escherichia coli (strain K12)	875
P0AES6	P0AES6	GYRB_ECOLI	reviewed	DNA gyrase subunit B (EC 5.99.1.3) (Type IIA topoisomerase subunit GyrB)	gyrB acrB cou himB hisU nalC parA pcbA b3699 JW5625	Escherichia coli (strain K12)	804
P0C1U9	P0C1U9	PARC_STAAU	reviewed	DNA topoisomerase 4 subunit A (EC 5.99.1.3) (Topoisomerase IV subunit A)	parC grlA	Staphylococcus aureus	800
P23576	P23576	GBRA2_RAT	reviewed	Gamma-aminobutyric acid receptor subunit alpha-2 (GABA(A) receptor subunit alpha-2)	Gabra2 Gabra-2	Rattus norvegicus (Rat)	451
P28473	P28473	GBRG3_RAT	reviewed	Gamma-aminobutyric acid receptor subunit gamma-3 (GABA(A) receptor subunit gamma-3)	Gabrg3	Rattus norvegicus (Rat)	467
P50130	P50130	DRD1_PIG	reviewed	D(1A) dopamine receptor (Dopamine D1 receptor)	DRD1	Sus scrofa (Pig)	446
Q60857	Q60857	SC6A4_MOUSE	reviewed	Sodium-dependent serotonin transporter (SERT) (5HT transporter) (5HTT) (Solute carrier family 6 member 4)	Slc6a4 Htt Sert	Mus musculus (Mouse)	630
P49285	P49285	MTR1A_CHICK	reviewed	Melatonin receptor type 1A (Mel-1A-R) (Mel1a receptor) (CKA)		Gallus gallus (Chicken)	353
P51050	P51050	MTR1B_CHICK	reviewed	Melatonin receptor type 1B (Mel-1B-R) (Mel1b receptor) (Fragment)		Gallus gallus (Chicken)	289
P49288	P49288	MTR1C_CHICK	reviewed	Melatonin receptor type 1C (Mel-1C-R) (Mel1c receptor) (CKB)		Gallus gallus (Chicken)	346
P9WPP7	P9WPP7	CP121_MYCTU	reviewed	Mycocyclosin synthase (EC 1.14.21.9) (Cytochrome P450 121) (Cytochrome P450 MT2)	cyp121 Rv2276 MTCY339.34c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	396
P9WPP9	P9WPP9	CP51_MYCTU	reviewed	Lanosterol 14-alpha demethylase (EC 1.14.13.70) (CYPLI) (Cytochrome P450 51) (Cytochrome P450-14DM) (Cytochrome P450-LIA1) (Sterol 14-alpha demethylase)	cyp51 Rv0764c MTCY369.09c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	451
Q95136	Q95136	DRD1_BOVIN	reviewed	D(1A) dopamine receptor (Dopamine D1 receptor)	DRD1 D1AR	Bos taurus (Bovine)	446
P08483	P08483	ACM3_RAT	reviewed	Muscarinic acetylcholine receptor M3	Chrm3 Chrm-3	Rattus norvegicus (Rat)	589
P08485	P08485	ACM4_RAT	reviewed	Muscarinic acetylcholine receptor M4	Chrm4 Chrm-4	Rattus norvegicus (Rat)	478
P18506	P18506	GBRD_RAT	reviewed	Gamma-aminobutyric acid receptor subunit delta (GABA(A) receptor subunit delta)	Gabrd	Rattus norvegicus (Rat)	449
Q9ES14	Q9ES14	GBRE_RAT	reviewed	Gamma-aminobutyric acid receptor subunit epsilon (GABA(A) receptor subunit epsilon)	Gabre	Rattus norvegicus (Rat)	506
P23574	P23574	GBRG1_RAT	reviewed	Gamma-aminobutyric acid receptor subunit gamma-1 (GABA(A) receptor subunit gamma-1)	Gabrg1	Rattus norvegicus (Rat)	465
P50572	P50572	GBRR1_RAT	reviewed	Gamma-aminobutyric acid receptor subunit rho-1 (GABA(A) receptor subunit rho-1) (GABA(C) receptor)	Gabrr1	Rattus norvegicus (Rat)	480
P81908	P81908	CHLE_HORSE	reviewed	Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (EQ-BCHE) (Pseudocholinesterase)	BCHE	Equus caballus (Horse)	574
P19490	P19490	GRIA1_RAT	reviewed	Glutamate receptor 1 (GluR-1) (AMPA-selective glutamate receptor 1) (GluR-A) (GluR-K1) (Glutamate receptor ionotropic, AMPA 1) (GluA1)	Gria1 Glur1	Rattus norvegicus (Rat)	907
P19491	P19491	GRIA2_RAT	reviewed	Glutamate receptor 2 (GluR-2) (AMPA-selective glutamate receptor 2) (GluR-B) (GluR-K2) (Glutamate receptor ionotropic, AMPA 2) (GluA2)	Gria2 Glur2	Rattus norvegicus (Rat)	883
P19492	P19492	GRIA3_RAT	reviewed	Glutamate receptor 3 (GluR-3) (AMPA-selective glutamate receptor 3) (GluR-C) (GluR-K3) (Glutamate receptor ionotropic, AMPA 3) (GluA3)	Gria3 Glur3	Rattus norvegicus (Rat)	888
P19493	P19493	GRIA4_RAT	reviewed	Glutamate receptor 4 (GluR-4) (GluR4) (AMPA-selective glutamate receptor 4) (GluR-D) (Glutamate receptor ionotropic, AMPA 4) (GluA4)	Gria4 Glur4	Rattus norvegicus (Rat)	902
P30966	P30966	5HT5A_MOUSE	reviewed	5-hydroxytryptamine receptor 5A (5-HT-5) (5-HT-5A) (5-HT5A) (Serotonin receptor 5A)	Htr5a 5ht5a	Mus musculus (Mouse)	357
P47820	P47820	ACE_RAT	reviewed	Angiotensin-converting enzyme (ACE) (EC 3.2.1.-) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form]	Ace Dcp1	Rattus norvegicus (Rat)	1313
Q8K4F2	Q8K4F2	LX15B_RAT	reviewed	Arachidonate 15-lipoxygenase B (15-LOX-B) (EC 1.13.11.33) (15-lipoxygenase 2) (15-LOX-2) (Arachidonate 15-lipoxygenase type II) (Linoleate 13-lipoxygenase 15-LOb) (EC 1.13.11.-)	Alox15b	Rattus norvegicus (Rat)	677
Q03311	Q03311	CHLE_MOUSE	reviewed	Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (Pseudocholinesterase)	Bche	Mus musculus (Mouse)	603
P22002	P22002	CAC1C_RAT	reviewed	Voltage-dependent L-type calcium channel subunit alpha-1C (Calcium channel, L type, alpha-1 polypeptide, isoform 1, cardiac muscle) (Rat brain class C) (RBC) (Voltage-gated calcium channel subunit alpha Cav1.2)	Cacna1c Cach2 Cacn2 Cacnl1a1 Cchl1a1	Rattus norvegicus (Rat)	2169
P27732	P27732	CAC1D_RAT	reviewed	Voltage-dependent L-type calcium channel subunit alpha-1D (Calcium channel, L type, alpha-1 polypeptide, isoform 2) (Rat brain class D) (RBD) (Voltage-gated calcium channel subunit alpha Cav1.3)	Cacna1d Cach3 Cacn4 Cacnl1a2 Cchl1a2	Rattus norvegicus (Rat)	2203
P30553	P30553	GASR_RAT	reviewed	Gastrin/cholecystokinin type B receptor (CCK-B receptor) (CCK-BR) (Cholecystokinin-2 receptor) (CCK2-R)	Cckbr	Rattus norvegicus (Rat)	452
P00800	P00800	THER_BACTH	reviewed	Thermolysin (EC 3.4.24.27) (Thermostable neutral proteinase)	npr	Bacillus thermoproteolyticus	548
P00636	P00636	F16P1_PIG	reviewed	Fructose-1,6-bisphosphatase 1 (FBPase 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase 1) (Liver FBPase)	FBP1 FBP	Sus scrofa (Pig)	338
P35439	P35439	NMDZ1_RAT	reviewed	Glutamate receptor ionotropic, NMDA 1 (GluN1) (Glutamate [NMDA] receptor subunit zeta-1) (N-methyl-D-aspartate receptor subunit NR1) (NMD-R1)	Grin1 Nmdar1	Rattus norvegicus (Rat)	938
O35435	O35435	PYRD_MOUSE	reviewed	Dihydroorotate dehydrogenase (quinone), mitochondrial (DHOdehase) (EC 1.3.5.2) (Dihydroorotate oxidase)	Dhodh	Mus musculus (Mouse)	395
Q63707	Q63707	PYRD_RAT	reviewed	Dihydroorotate dehydrogenase (quinone), mitochondrial (DHOdehase) (EC 1.3.5.2) (Dihydroorotate oxidase)	Dhodh	Rattus norvegicus (Rat)	395
P35363	P35363	5HT2A_MOUSE	reviewed	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A)	Htr2a Htr2	Mus musculus (Mouse)	471
Q02152	Q02152	5HT2B_MOUSE	reviewed	5-hydroxytryptamine receptor 2B (5-HT-2B) (5-HT2B) (5-HT-2F) (NP75 protein) (Serotonin receptor 2B)	Htr2b	Mus musculus (Mouse)	479
P34968	P34968	5HT2C_MOUSE	reviewed	5-hydroxytryptamine receptor 2C (5-HT-2C) (5-HT2C) (5-HTR2C) (5-hydroxytryptamine receptor 1C) (5-HT-1C) (5-HT1C) (Serotonin receptor 2C)	Htr2c 5ht1c Htr1c	Mus musculus (Mouse)	459
P61168	P61168	DRD2_MOUSE	reviewed	D(2) dopamine receptor (Dopamine D2 receptor)	Drd2	Mus musculus (Mouse)	444
P54290	P54290	CA2D1_RAT	reviewed	Voltage-dependent calcium channel subunit alpha-2/delta-1 (Voltage-gated calcium channel subunit alpha-2/delta-1) [Cleaved into: Voltage-dependent calcium channel subunit alpha-2-1; Voltage-dependent calcium channel subunit delta-1]	Cacna2d1 Cacnl2a Cchl2a	Rattus norvegicus (Rat)	1091
Q8CFG6	Q8CFG6	CA2D2_RAT	reviewed	Voltage-dependent calcium channel subunit alpha-2/delta-2 (Voltage-gated calcium channel subunit alpha-2/delta-2) [Cleaved into: Voltage-dependent calcium channel subunit alpha-2-2; Voltage-dependent calcium channel subunit delta-2]	Cacna2d2	Rattus norvegicus (Rat)	1157
Q8CFG5	Q8CFG5	CA2D3_RAT	reviewed	Voltage-dependent calcium channel subunit alpha-2/delta-3 (Voltage-gated calcium channel subunit alpha-2/delta-3) [Cleaved into: Voltage-dependent calcium channel subunit alpha-2-3; Voltage-dependent calcium channel subunit delta-3]	Cacna2d3	Rattus norvegicus (Rat)	1085
P14100	P14100	PDE1A_BOVIN	reviewed	Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A (Cam-PDE 1A) (EC 3.1.4.17) (61 kDa Cam-PDE)	PDE1A	Bos taurus (Bovine)	530
O89084	O89084	PDE4A_MOUSE	reviewed	cAMP-specific 3',5'-cyclic phosphodiesterase 4A (EC 3.1.4.53)	Pde4a	Mus musculus (Mouse)	844
P54748	P54748	PDE4A_RAT	reviewed	cAMP-specific 3',5'-cyclic phosphodiesterase 4A (EC 3.1.4.53) (DPDE2)	Pde4a	Rattus norvegicus (Rat)	844
P14646	P14646	PDE4B_RAT	reviewed	cAMP-specific 3',5'-cyclic phosphodiesterase 4B (EC 3.1.4.53) (DPDE4)	Pde4b	Rattus norvegicus (Rat)	736
Q3UEI1	Q3UEI1	PDE4C_MOUSE	reviewed	cAMP-specific 3',5'-cyclic phosphodiesterase 4C (EC 3.1.4.53)	Pde4c	Mus musculus (Mouse)	686
P14644	P14644	PDE4C_RAT	reviewed	cAMP-specific 3',5'-cyclic phosphodiesterase 4C (EC 3.1.4.53) (DPDE1) (Fragment)	Pde4c Dpde1	Rattus norvegicus (Rat)	536
Q01063	Q01063	PDE4D_MOUSE	reviewed	cAMP-specific 3',5'-cyclic phosphodiesterase 4D (EC 3.1.4.53) (DPDE3)	Pde4d	Mus musculus (Mouse)	747
P14270	P14270	PDE4D_RAT	reviewed	cAMP-specific 3',5'-cyclic phosphodiesterase 4D (EC 3.1.4.53) (DPDE3)	Pde4d	Rattus norvegicus (Rat)	803
P04326	P04326	TAT_HV112	reviewed	Protein Tat (Transactivating regulatory protein)		Human immunodeficiency virus type 1 group M subtype B (isolate PCV12) (HIV-1)	86
P25099	P25099	AA1R_RAT	reviewed	Adenosine receptor A1	Adora1	Rattus norvegicus (Rat)	326
P54001	P54001	P4HA1_RAT	reviewed	Prolyl 4-hydroxylase subunit alpha-1 (4-PH alpha-1) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-1)	P4ha1 P4ha	Rattus norvegicus (Rat)	534
P49430	P49430	THAS_RAT	reviewed	Thromboxane-A synthase (TXA synthase) (TXS) (EC 5.3.99.5) (Cytochrome P450 5A1)	Tbxas1 Cyp5 Cyp5a1	Rattus norvegicus (Rat)	533
P80457	P80457	XDH_BOVIN	reviewed	Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)]	XDH	Bos taurus (Bovine)	1332
P30994	P30994	5HT2B_RAT	reviewed	5-hydroxytryptamine receptor 2B (5-HT-2B) (5-HT2B) (5-HT-2F) (Serotonin receptor 2B) (Stomach fundus serotonin receptor)	Htr2b Srl	Rattus norvegicus (Rat)	479
P08909	P08909	5HT2C_RAT	reviewed	5-hydroxytryptamine receptor 2C (5-HT-2C) (5-HT2C) (5-HTR2C) (5-hydroxytryptamine receptor 1C) (5-HT-1C) (5-HT1C) (Serotonin receptor 2C)	Htr2c 5ht1c Htr1c	Rattus norvegicus (Rat)	460
P55859	P55859	PNPH_BOVIN	reviewed	Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase)	PNP NP	Bos taurus (Bovine)	289
P85973	P85973	PNPH_RAT	reviewed	Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase)	Pnp Np	Rattus norvegicus (Rat)	289
P97612	P97612	FAAH1_RAT	reviewed	Fatty-acid amide hydrolase 1 (EC 3.5.1.99) (Anandamide amidohydrolase 1) (Oleamide hydrolase 1)	Faah Faah1	Rattus norvegicus (Rat)	579
P79400	P79400	5HT1D_PIG	reviewed	5-hydroxytryptamine receptor 1D (5-HT-1D) (5-HT1D) (Serotonin receptor 1D) (Fragment)	HTR1D	Sus scrofa (Pig)	291
O70174	O70174	ACHA4_MOUSE	reviewed	Neuronal acetylcholine receptor subunit alpha-4	Chrna4 Acra4	Mus musculus (Mouse)	629
P02710	P02710	ACHA_TETCF	reviewed	Acetylcholine receptor subunit alpha	CHRNA1	Tetronarce californica (Pacific electric ray) (Torpedo californica)	461
P02712	P02712	ACHB_TETCF	reviewed	Acetylcholine receptor subunit beta	CHRNB1	Tetronarce californica (Pacific electric ray) (Torpedo californica)	493
P02718	P02718	ACHD_TETCF	reviewed	Acetylcholine receptor subunit delta	chrnd	Tetronarce californica (Pacific electric ray) (Torpedo californica)	522
P02714	P02714	ACHG_TETCF	reviewed	Acetylcholine receptor subunit gamma	CHRNG	Tetronarce californica (Pacific electric ray) (Torpedo californica)	506
Q6B856	Q6B856	TBB2B_BOVIN	reviewed	Tubulin beta-2B chain	TUBB2B	Bos taurus (Bovine)	445
Q9R1M7	Q9R1M7	NMD3A_RAT	reviewed	Glutamate receptor ionotropic, NMDA 3A (GluN3A) (Glutamate receptor chi-1) (N-methyl-D-aspartate receptor) (N-methyl-D-aspartate receptor subtype 3A) (NMDAR3A) (NR3A) (NMDAR-L) (NMDAR-L1)	Grin3a	Rattus norvegicus (Rat)	1135
P28190	P28190	AA1R_BOVIN	reviewed	Adenosine receptor A1	ADORA1	Bos taurus (Bovine)	326
P48776	P48776	T23O_MOUSE	reviewed	Tryptophan 2,3-dioxygenase (TDO) (EC 1.13.11.11) (Tryptamin 2,3-dioxygenase) (Tryptophan oxygenase) (TO) (TRPO) (Tryptophan pyrrolase) (Tryptophanase)	Tdo2 Tdo	Mus musculus (Mouse)	406
P21643	P21643	T23O_RAT	reviewed	Tryptophan 2,3-dioxygenase (TDO) (EC 1.13.11.11) (Tryptamin 2,3-dioxygenase) (Tryptophan oxygenase) (TO) (TRPO) (Tryptophan pyrrolase) (Tryptophanase)	Tdo2 Tdo	Rattus norvegicus (Rat)	406
P0DMS8	P0DMS8	AA3R_HUMAN	reviewed	Adenosine receptor A3	ADORA3	Homo sapiens (Human)	318
P62812	P62812	GBRA1_MOUSE	reviewed	Gamma-aminobutyric acid receptor subunit alpha-1 (GABA(A) receptor subunit alpha-1)	Gabra1 Gabra-1	Mus musculus (Mouse)	455
P26048	P26048	GBRA2_MOUSE	reviewed	Gamma-aminobutyric acid receptor subunit alpha-2 (GABA(A) receptor subunit alpha-2)	Gabra2 Gabra-2	Mus musculus (Mouse)	451
P26049	P26049	GBRA3_MOUSE	reviewed	Gamma-aminobutyric acid receptor subunit alpha-3 (GABA(A) receptor subunit alpha-3)	Gabra3 Gabra-3	Mus musculus (Mouse)	492
Q9D6F4	Q9D6F4	GBRA4_MOUSE	reviewed	Gamma-aminobutyric acid receptor subunit alpha-4 (GABA(A) receptor subunit alpha-4)	Gabra4	Mus musculus (Mouse)	552
Q8BHJ7	Q8BHJ7	GBRA5_MOUSE	reviewed	Gamma-aminobutyric acid receptor subunit alpha-5 (GABA(A) receptor subunit alpha-5)	Gabra5	Mus musculus (Mouse)	463
P16305	P16305	GBRA6_MOUSE	reviewed	Gamma-aminobutyric acid receptor subunit alpha-6 (GABA(A) receptor subunit alpha-6)	Gabra6 Gabra-6	Mus musculus (Mouse)	453
P50571	P50571	GBRB1_MOUSE	reviewed	Gamma-aminobutyric acid receptor subunit beta-1 (GABA(A) receptor subunit beta-1)	Gabrb1	Mus musculus (Mouse)	474
P63080	P63080	GBRB3_MOUSE	reviewed	Gamma-aminobutyric acid receptor subunit beta-3 (GABA(A) receptor subunit beta-3)	Gabrb3 Gabrb-3	Mus musculus (Mouse)	473
P22933	P22933	GBRD_MOUSE	reviewed	Gamma-aminobutyric acid receptor subunit delta (GABA(A) receptor subunit delta)	Gabrd	Mus musculus (Mouse)	449
Q9R0Y8	Q9R0Y8	GBRG1_MOUSE	reviewed	Gamma-aminobutyric acid receptor subunit gamma-1 (GABA(A) receptor subunit gamma-1)	Gabrg1	Mus musculus (Mouse)	465
P22723	P22723	GBRG2_MOUSE	reviewed	Gamma-aminobutyric acid receptor subunit gamma-2 (GABA(A) receptor subunit gamma-2)	Gabrg2	Mus musculus (Mouse)	474
P27681	P27681	GBRG3_MOUSE	reviewed	Gamma-aminobutyric acid receptor subunit gamma-3 (GABA(A) receptor subunit gamma-3)	Gabrg3	Mus musculus (Mouse)	467
Q8QZW7	Q8QZW7	GBRP_MOUSE	reviewed	Gamma-aminobutyric acid receptor subunit pi (GABA(A) receptor subunit pi)	Gabrp	Mus musculus (Mouse)	440
Q9JLF1	Q9JLF1	GBRT_MOUSE	reviewed	Gamma-aminobutyric acid receptor subunit theta (GABA(A) receptor subunit theta)	Gabrq	Mus musculus (Mouse)	638
Q64537	Q64537	CPNS1_RAT	reviewed	Calpain small subunit 1 (CSS1) (Calcium-activated neutral proteinase small subunit) (CANP small subunit) (Calcium-dependent protease small subunit) (CDPS) (Calcium-dependent protease small subunit 1) (Calpain regulatory subunit)	Capns1 Capn4 Css1	Rattus norvegicus (Rat)	270
O02747	O02747	AHR_RABIT	reviewed	Aryl hydrocarbon receptor (Ah receptor) (AhR)	AHR	Oryctolagus cuniculus (Rabbit)	847
P12530	P12530	LOX15_RABIT	reviewed	Arachidonate 15-lipoxygenase (15-LOX) (EC 1.13.11.33) (12/15-lipoxygenase) (Arachidonate 12-lipoxygenase, leukocyte-type) (12-LOX) (L-12LO) (EC 1.13.11.31) (Arachidonate omega-6 lipoxygenase) (Erythroid cell-specific 15-lipoxygenase)	ALOX15	Oryctolagus cuniculus (Rabbit)	663
Q62868	Q62868	ROCK2_RAT	reviewed	Rho-associated protein kinase 2 (EC 2.7.11.1) (Rho-associated, coiled-coil-containing protein kinase 2) (Rho-associated, coiled-coil-containing protein kinase II) (ROCK-II) (RhoA-binding kinase 2) (p150 ROK-alpha) (ROKalpha) (p164 ROCK-2)	Rock2	Rattus norvegicus (Rat)	1388
P26618	P26618	PGFRA_MOUSE	reviewed	Platelet-derived growth factor receptor alpha (PDGF-R-alpha) (PDGFR-alpha) (EC 2.7.10.1) (Alpha platelet-derived growth factor receptor) (Alpha-type platelet-derived growth factor receptor) (CD140 antigen-like family member A) (Platelet-derived growth factor alpha receptor) (CD antigen CD140a)	Pdgfra	Mus musculus (Mouse)	1089
P20786	P20786	PGFRA_RAT	reviewed	Platelet-derived growth factor receptor alpha (PDGF-R-alpha) (PDGFR-alpha) (EC 2.7.10.1) (Alpha platelet-derived growth factor receptor) (Alpha-type platelet-derived growth factor receptor) (CD140 antigen-like family member A) (Platelet-derived growth factor alpha receptor) (CD antigen CD140a)	Pdgfra	Rattus norvegicus (Rat)	1088
P05622	P05622	PGFRB_MOUSE	reviewed	Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta) (EC 2.7.10.1) (Beta platelet-derived growth factor receptor) (Beta-type platelet-derived growth factor receptor) (CD140 antigen-like family member B) (Platelet-derived growth factor receptor 1) (PDGFR-1) (CD antigen CD140b)	Pdgfrb Pdgfr Pdgfr1	Mus musculus (Mouse)	1098
P68370	P68370	TBA1A_RAT	reviewed	Tubulin alpha-1A chain (Alpha-tubulin 1) (Tubulin alpha-1 chain)	Tuba1a Tuba1	Rattus norvegicus (Rat)	451
P47811	P47811	MK14_MOUSE	reviewed	Mitogen-activated protein kinase 14 (MAP kinase 14) (MAPK 14) (EC 2.7.11.24) (CRK1) (Mitogen-activated protein kinase p38 alpha) (MAP kinase p38 alpha)	Mapk14 Crk1 Csbp1 Csbp2	Mus musculus (Mouse)	360
P19020	P19020	DRD3_RAT	reviewed	D(3) dopamine receptor (Dopamine D3 receptor)	Drd3	Rattus norvegicus (Rat)	446
Q9NYL2	Q9NYL2	MLTK_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase MLT (EC 2.7.11.25) (Human cervical cancer suppressor gene 4 protein) (HCCS-4) (Leucine zipper- and sterile alpha motif-containing kinase) (MLK-like mitogen-activated protein triple kinase) (Mixed lineage kinase-related kinase) (MLK-related kinase) (MRK) (Sterile alpha motif- and leucine zipper-containing kinase AZK)	ZAK MLTK HCCS4	Homo sapiens (Human)	800
Q05030	Q05030	PGFRB_RAT	reviewed	Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta) (EC 2.7.10.1) (Beta platelet-derived growth factor receptor) (Beta-type platelet-derived growth factor receptor) (CD140 antigen-like family member B) (Platelet-derived growth factor receptor 1) (PDGFR-1) (CD antigen CD140b)	Pdgfrb Pdgfr Pdgfr1	Rattus norvegicus (Rat)	1097
Q8K4Z4	Q8K4Z4	ADRB2_CAVPO	reviewed	Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor)	Adrb2	Cavia porcellus (Guinea pig)	418
P0A884	P0A884	TYSY_ECOLI	reviewed	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	thyA b2827 JW2795	Escherichia coli (strain K12)	264
P29476	P29476	NOS1_RAT	reviewed	Nitric oxide synthase, brain (EC 1.14.13.39) (BNOS) (Constitutive NOS) (NC-NOS) (NOS type I) (Neuronal NOS) (N-NOS) (nNOS) (Peptidyl-cysteine S-nitrosylase NOS1)	Nos1 Bnos	Rattus norvegicus (Rat)	1429
P35364	P35364	5HT5A_RAT	reviewed	5-hydroxytryptamine receptor 5A (5-HT-5A) (5-HT5A) (REC17) (Serotonin receptor 5A)	Htr5a 5ht5a	Rattus norvegicus (Rat)	357
P35365	P35365	5HT5B_RAT	reviewed	5-hydroxytryptamine receptor 5B (5-HT-5B) (5-HT5B) (MR22) (Serotonin receptor 5B)	Htr5b 5ht5b	Rattus norvegicus (Rat)	370
P31388	P31388	5HT6R_RAT	reviewed	5-hydroxytryptamine receptor 6 (5-HT-6) (5-HT6) (ST-B17) (Serotonin receptor 6)	Htr6	Rattus norvegicus (Rat)	436
Q61616	Q61616	DRD1_MOUSE	reviewed	D(1A) dopamine receptor (Dopamine D1 receptor)	Drd1 Drd1a Gpcr15	Mus musculus (Mouse)	446
P54645	P54645	AAPK1_RAT	reviewed	5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31) (Tau-protein kinase PRKAA1) (EC 2.7.11.26)	Prkaa1 Ampk1	Rattus norvegicus (Rat)	559
Q09137	Q09137	AAPK2_RAT	reviewed	5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31)	Prkaa2 Ampk Ampk2	Rattus norvegicus (Rat)	552
